Attached To DocType,Bifogad till DocType,
Attached To Field,Bifogad till Fält,
Attached To Name,Bifogad till Namn,
Attachment,Bifogning,
Attachment Limit (MB),Bilaga Gräns (MB),
Attachment Link,Bilaga Länk,
Attachment Removed,Bilaga Borttagen,
Attachments,Bilagor,
Audience,Mottagare,
Audit System Hooks,Granska System Hooks,
Audit Trail,Granskning Spår,
Auth URL Data,Auth URL Data,
Authenticate as Service Principal,Autentisera som Tjänst Huvudansvarig,
Authentication,Autentisering,
Author,Skapad Av,
Authorization Code,Auktorisering Kod,
Authorization URI,Auktorisering URI,
Authorize API Access,Auktorisera API Åtkomst,
Authorize API Indexing  Access,Auktorisera API Indexering Åtkomst,
Authorize Google Calendar Access,Auktorisera Google Kalender Åtkomst,
Authorize Google Contacts Access,Auktorisera Google Kontakter Åtkomst,
Authorize Google Drive Access,Auktorisera Google Drive Åtkomst,
Authorize URL,Auktorisera URL,
Authorized,Auktoriserad,
Auto,Automatiskt,
Auto Email Report,Automatiskt E-post Rapport,
Auto Name,Automatiskt,
Auto Repeat,Auto Repeat,
Auto Repeat Day,Återkommande Händelse Dag,
Auto Reply,Autosvar,
Auto Reply Message,Autosvar Meddelande,
Auto follow documents that are assigned to you,Automatiskt följ dokument som är tilldelade dig,
Auto follow documents that are shared with you,Automatiskt följ dokument som är delade med dig,
Auto follow documents that you Like,Automatiskt följ dokument som du gillar,
Auto follow documents that you comment on,Automatiskt följ.dokument som du kommenterar,
Auto follow documents that you create,Automatiskt följ dokument som du skapar,
Autocomplete,Autokomplettera,
Autoincrement,Stega upp,
Automated Message,Automatiskt Meddelande,
Automatic,Automatisk,
Automatically Assign Documents to Users,Automatisk Tilldela Dokument till Användare,
Automatically delete account within (hours),Automatiskt borttagning av konto inom (timmar),
Automation,Automatisering,
Avatar,Avatar,
Average,Medel,
Awaiting Password,Väntar På Lösenord,
Awaiting password,Väntar På Lösenord,
B0,B0,
B1,B1,
B10,B10,
B2,B2,
B3,B3,
B4,B4,
B5,B5,
B6,B6,
B7,B7,
B8,B8,
B9,B9,
BCC,Hemlig Kopia Till,
Background Color,Bakgrund Färg,
Background Image,Bakgrund Bild,
Background Jobs,Bakgrund Jobb,
Background Jobs Check,Bakgrund Jobb Status,
Background Jobs Queue,Bakgrund Jobb Kö,
Background Workers,Bakgrund Tjänster,
Backup Details,Säkerhetskopiering Detaljer,
Backup Files,Säkerhetskopiera Filer,
Backup Folder ID,Säkerhetskopiering Mapp ID,
Backup Folder Name,Säkerhetskopiering Mapp Namn,
Backup Frequency,Säkerhetskopiering Intervall,
Backup public and private files along with the database.,Säkerhetskopiera publika och privata filer tillsammans med databas.,
Backups,Säkerhetskopior,
Backups (MB),Säkerhetskopior (MB),
Banker's Rounding,Bankens Avrundning,
Banker's Rounding (legacy),Bankens Avrundning (äldre system),
Banner,Banderoll,
Banner HTML,Banderoll HTML,
Banner Image,Banderoll Bild,
Banner is above the Top Menu Bar.,Banderoll är ovanför Toppfält Meny rad.,
Bar,Stapel,
Barcode,Streckkod,
Base Distinguished Name (DN),Bas Distingerad Namn (DN),
Base URL,Basadress,
Based On,Baserat På,
Based on Field,Baserad på Fält,
Based on Permissions For User,Baserad på Behörigheter för Användare,
Basic,Grundläggande,
Basic Info,Information,
Before Cancel,Före Annullering,
Before Delete,Före Radering,
Before Insert,Före Infoga,
Before Print,Före Utsktrft,
Before Rename,Före Ändra Namn,
Before Save,Före Spara,
Before Save (Submitted Document),Före Spara (Godkänd Dokument),
Before Submit,Före Godkännande,
Before Validate,Före Validering,
Beginner,Nybörjare,
Beta,Beta,
Billing,Fakturering,
Binary Logging,Binär Logg,
Bio,Resume,
Birth Date,Födelse Datum,
Block Module,Spärra Modul,
Block Modules,Spärra Moduler,
Blocked,Spärrad,
Blog Category,Blogg Kategori,
Blog Intro,Blogg Introduktion,
Blog Introduction,Blogg Inledning,
Blog Post,Blogg Inlägg,
Blog Settings,Blogg Inställningar,
Blog Title,Blogg Titel,
Blogger,Bloggare,
Blue,Blå,
Bold,Fet,
Bot,Bot,
Bottom,Botten,
Bottom Center,Botten Center,
Bottom Left,Botten Vänster,
Bottom Right,Botten Höger,
Bounced,Studsade,
Brand,Märke,
Brand HTML,Varumärke HTML,
Brand Image,Varumärke Bild,
Brand Logo,Varumärke Logo,
Breadcrumbs,Brödsmulor,
Browse by category,Bläddra efter kategori,
Browser,Webbläsare,
Browser Version,Webbläsare Version,
Brute Force Security,Inloggning Säkerhet,
Bucket Name,Skop Namn,
Bufferpool Size,Bufferpool Storlek,
Bulk Actions,Mass Åtgärder,
Bulk Update,Mass Uppdatera,
Button,Knapp,
Button Gradients,Gradient Knapp,
Button Rounded Corners,Rundade Hörn Knapp,
Button Shadows,Skugg Knapp,
"By ""Naming Series"" field","Efter ""Nummer Serie"".",
"By default, emails are only sent for failed backups.",Som standard skickas e-postmeddelanden endast för misslyckade säkerhetskopior.,
By fieldname,Efter fältnamn,
By script,Efter skript,
Bypass Restricted IP Address Check If Two Factor Auth Enabled,Frångå begränsad IP Adress Kontroll om Två Faktor Autentisering är Aktiverad,
Bypass Two Factor Auth for users who login from restricted IP Address,Frångå Två Faktor Autentisering för Användare som loggar in från begränsad IP Adress,
Bypass restricted IP Address check If Two Factor Auth Enabled,Frångå begränsad IP Adress kontroll om Två Faktor Autentisering är Aktiverad,
C5E,C5E,
CC,Kopia Till,
CMD,CMD,
CSS,CSS,
CSS Class,CSS Klass,
CSS selector for the element you want to highlight.,CSS väljare för element som ska markeras.,
CSV,CSV,
CTA Label,Funktion Knapp Etikett,
CTA URL,Funktion Knapp URL,
Cache,Cache,
Calendar,Kalender,
Calendar Name,Kalender Namn,
Calendar View,Kalender Vy,
Call,Samtal,
Call To Action,Funktion Knapp,
Call To Action URL,Funktion Knapp URL,
Call to Action,Funktion Knapp,
Callback Message,Återuppringning Meddelande,
Callback Title,Återuppringning Titel,
Campaign,Kampanj,
Campaign Description (Optional),Kampanj Beskrivning (Valfri),
Can only list down the document types which has been linked to the User document type.,Kan bara lista de Dokument Typer som har länkats till användarDokument Typen.,
Cancel,Avbryt,
Cancelled,Inställt,
Card,Kort,
Card Break,Kort Brytning,
Cards,kort,
Category,Kategori,
Category Description,Kategori Beskrivning,
Category Name,Kategorinamn,
Center,Center,
Chaining Hash,Kedjehash,
Change Label (via Custom Translation),Ändra Titel (via Anpassad Översättning),
Change Password,Ändra Lösenord,
"Change the starting / current sequence number of an existing series. <br>

Warning: Incorrectly updating counters can prevent documents from getting created. ","Ändra start / aktuell sekvens nummer för befintlig serie. <br>

Varning: Felaktig uppdatering av sekvens kan förhindra att dokument skapas.",
Changelog Feed,Ändringslogg Flöde,
Channel,Skicka Med,
Chart,Diagram,
Chart Configuration,Diagram Inställningar,
Chart Name,Diagram Namn,
Chart Options,Diagram Alternativ,
Chart Source,Diagram Källa,
Chart Type,Diagram Typ,
Charts,Diagram,
Chat,Chatta,
Check,Check,
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Välj detta för att tvinga användare att välja serie innan den kan sparar. Det finns ingen standard om du väljer detta.,
Checking this will hide custom doctypes and reports cards in Links section,Om vald döljs anpassade doctypes och rapport kort i Länk sektion,
Checksum Version,Checksum Version,
Child Doctype,Underordnad Doctype,
Child Tables are shown as a Grid in other DocTypes,Underordnade Tabeller visas som rutnät i andra DocTyper,
Choose authentication method to be used by all users,Välj autentiseringsätt som ska användas av alla Användare,
City,Stad,
City/Town,Stad / Town,
Clear Logs After (days),Rensa Logg Efter (dagar),
Clicked,Klickad,
Client,Klient,
Client Code,Klient Kod,
Client Credentials,Klient Inloggningsppgifter,
Client ID,Klient ID,
Client Id,Klient ID,
Client Information,Klient Information,
Client Script,Klient Skript,
Client Secret,Kundhemlighet,
Client URLs,Klient Adresser,
Client script,Klientskript,
Close Condition,Stängning Villkor,
Closed,Stängt,
Code,Kod,
Code Challenge,Kodutmaning,
Code challenge method,Kod utmaning sätt,
Collapsible,Infällbar,
Collapsible Depends On,Infällbar Beror på,
Collapsible Depends On (JS),Infällbar beror på (JS),
Color,Färg,
Column,Kolumn,
Column Break,Kolumn Brytning,
Column Name,Kolumn Namn,
Columns,Kolumner,
Columns / Fields,Kolumner / Fält,
Comm10E,Comm10E,
Comment,Kommentar,
Comment By,Kommentar Av,
Comment Email,Kommentar E-post,
Comment Type,Kommentar Typ,
Comment limit,Kommentar,
Comment limit per hour,Kommentar per timme,
Comments and Communications will be associated with this linked document,Kommentarer och E-post kommer att kopplas till detta länkade dokument,
Commercial Rounding,Kommersiell Avrundning,
Commit,Commit,
Committed,Committed,
Communication,Kommunikation,
Communication Link,Konversation Länk,
Communication Type,E-post Typ,
Compact Item Print,Kompakt Produkttryck,
Company History,Bolag Historik,
Company Introduction,Bolag Introduktion,
Company Name,Företagsnamn,
Complete,Komplett,
Completed,Avslutade,
Completed By Role,Klar av Roll,
Completed By User,Klar av Användare,
Component,Komponent,
Condition,Tillstånd,
Condition JSON,JSON Villkor,
Condition description,Villkor Beskrivning,
Conditions,Villkor,
Configuration,Konfiguration,
"Configure how amended documents will be named.<br>

Default behaviour is to follow an amend counter which adds a number to the end of the original name indicating the amended version. <br>

Default Naming will make the amended document to behave same as new documents.","Konfigurera hur ändrade dokument ska namnges.

Standard är att följa ändring sekvens som lägger till version nummer i slutet av ursprungliga namn.
Standard Nummer Serie gör att ändrade dokument fungerar på samma sätt som nya dokument.",
"Configure various aspects of how document naming works like naming series, current counter.","Konfigurera olika aspekter av hur dokument namn fungerar som att namnge serier, aktuell räknare.",
Confirmation Email Template,Bekräftelse E-post Mall,
Connected App,Ansluten App,
Connected User,Ansluten Användare,
Connections,Anslutningar,
Console,Konsol,
Console Log,Konsol Logg,
Constraints,Begränsningar,
Contact,Kontakt,
Contact Details,Kontakt Uppgifter,
Contact Email,Kontakt E-Post,
Contact Numbers,Kontakt Nummer,
Contact Phone,Kontakt Telefon,
Contact Us Settings,Kontakta Oss Inställningar,
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Kontakt Alternativ, som 'Försäljning Förfrågning, Support Förfrågning' osv på ny rad eller separerade med komma tecken.",
Contacts,Kontakter,
Content,Innehåll,
Content (HTML),Innehåll (HTML),
Content (Markdown),Innehåll (Markdown),
Content Hash,Innehåll Hash,
Content Type,Typ av innehåll,
Context,Kontext,
Context Script,Kontext Skript,
Contributed,Bidragen,
Contribution Document Name,Bidrag Dokument Namn,
Contribution Status,Bidrag Status,
"Controls whether new users can sign up using this Social Login Key. If unset, Website Settings is respected.","Kontrollerar om nya användare kan registrera sig med denna Sociala Inloggning Nyckel. Om ej vald, respekteras webbplats inställningar.",
Copyright,Copyright,
Core,System,
Count,Antal,
Count Filter,Antal & Filter,
Counter,Räknare,
Country,Land,
Country Name,Land Namn,
County,Kommun,
Create,Skapa,
Create Contacts from Incoming Emails,Skapa Kontakter från Inkommande E-post,
Create Entry,Skapa Post,
Create Log,Skapa Logg,
Create and send emails to a specific group of subscribers periodically.,Skapa och skicka e-post till specifik grupp av prenumeranter med jämna mellanrum.,
Created,Skapad,
Created At,Skapad,
Criticism,Kritik,
Cron,Cron,
Cron Format,Cron Format,
Currency,Valuta,
Currency Name,Valuta Namn,
Currency Precision,Valuta Precision,
"Currency list stores the currency value, its symbol and fraction unit","Valuta lista lagrar valutavärde, dess symbol och bråkenhet",
Current,Aktuell,
Current Job ID,Aktuellt Jobb ID,
Current Value,Aktuellt Värde,
Custom,Anpassad,
Custom Base URL,Anpassad Bas URL,
Custom Block Name,Anpassad Avsnitt Namn,
Custom Blocks,Anpassade Avsnitt,
Custom CSS,Anpassad CSS,
Custom Configuration,Anpassad Konfiguration,
Custom DocPerm,Anpassad Dokument Behörighet,
Custom Document Types (Select Permission),Anpassade Dokument Typer (Välj Behörighet),
Custom Field,Anpassad Fält,
Custom Footer,Anpassad Sidfot,
Custom Format,Anpassad Format,
Custom Group Search,Anpassad Grupp Sökning,
Custom HTML Block,Anpassad HTML,
Custom HTML Help,Anpassad HTML Hjälp,
Custom Label,Anpassad Titel,
Custom Menu Items,Anpassade Meny Poster,
Custom Options,Anpassade Alternativ,
Custom Overrides,Anpassade Åsidosättningar,
Custom Report,Anpassad Rapport,
Custom Role,Anpassad Roll,
Custom SCSS,Anpassad SCSS,
Custom Sidebar Menu,Anpassad Sidfält Meny,
Custom?,Anpassad?,
Customization,Anpassning,
Customize Form,Anpassa Formulär,
Customize Form Field,Anpassa Formulär Fält,
Cyan,Cyan,
DELETE,TA BORT,
DESC,Fallande,
DLE,DLE,
Daily,Dagligen,
Daily Long,Dag Lång,
Danger,Fara,
Dark,Mörk,
Dark Color,Mörk Färg,
Dashboard,Översikt Panel,
Dashboard Chart,Översikt Panel Diagram,
Dashboard Chart Field,Översikt Panel Diagram Fält,
Dashboard Chart Link,Översikt Panel Diagram Länk,
Dashboard Chart Source,Översikt Panel Diagram Källa,
Dashboard Manager,Översikt Panel Ansvarig,
Dashboard Name,Översikt Panel Namn,
Dashboard Settings,Översikt Panel Inställningar,
Dashboards,Översikt Paneler,
Data,Data,
Data Export,Data Export,
Data Import,Data Import,
Data Import Log,Data Import Logg,
Database,Databas,
Database Engine,Databas Motor,
Database Processes,Databas Processer,
Database Storage Usage By Tables,Databas Lagring Användning Efter Tabeller,
Database Version,Databas Version,
Date,Datum,
Date Format,Datumformat,
Date and Number Format,Datum och Nummer Format,
Datetime,Datum och Tid,
Day,Dag,
Day of Week,Dag i veckan,
Days After,Dagar Efter,
Days Before,Dagar Före,
Days Before or After,Dagar Före eller Efter,
Debug Log,Felsökning Logg,
Default,Standard,
Default Amendment Naming,Standard Ändring Namn,
Default App,Standard App,
Default Email Template,Standard E-post Mall,
Default Incoming,Standard Inkommande,
Default Letter Head,Standard Brev,
Default Naming,Standard Nummer Serie,
Default Outgoing,Standard Utgående,
Default Portal Home,Standard Portal Webblats,
Default Print Format,Standard Utskrift Mall,
Default Print Language,Standard Utskrift Språk,
Default Redirect URI,Standard Omdirigering URI,
Default Role at Time of Signup,Standard Roll vid Registrering,
Default Sort Field,Standard Sortering Fält,
Default Sort Order,Standard Sortering Ordning,
Default Template For Field,Standard Mall för Fält,
Default User Role,Standard Användare Roll,
Default User Type,Standard Användare Typ,
Default Value,Standardvärde,
Default View,Standard Vy,
Default Workspace,Standard Arbetsyta,
Default display currency,Standard Valuta,
"Default: ""Contact Us""",Standard: 'Kontakta oss',
DefaultValue,Standard Värde,
Defaults,Standard,
Defines actions on states and the next step and allowed roles.,"Definierar åtgärder på tillstånd, nästa steg och tillåtna roller.",
Defines workflow states and rules for a document.,Definierar arbetsflöde tillstånd och regler för dokument.,
Delayed,Försenad,
Delete,Radera,
Deleted,Borttagen,
Deleted DocType,Borttagen DocType,
Deleted Document,Papperskorg,
Deleted Name,Borttaget Namn,
Deletion Steps ,Borttagning Steg,
Delivery Status,Leveransstatus,
Deny,Neka,
Department,Avdelning,
Dependencies,beroenden,
Depends On,Beror På,
Description,Beskrivning,
"Description for listing page, in plain text, only a couple of lines. (max 200 characters)","Beskrivning för list sida, i vanlig text, bara par rader. (max 200 tecken)",
Description to inform the user about any action that is going to be performed,Beskrivning för att informera användare om alla åtgärder som kommer att utföras,
Designation,Beteckning,
Desk,Skrivbord,
Desk Access,Skrivbord Åtkomst,
Desk Settings,Skrivbord Inställningar,
Desk Theme,Skrivbord Tema,
Desk User,Skrivbord Användare,
Desktop Icon,Skrivbord Ikon,
Details,Detaljer,
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Olika ""Tillstånd"" som detta dokument kan existera i. T.ex. ""Öppen"", ""Väntar på Godkännande"" etc.",
Digits,Siffror,
Directory Server,Katalog Server,
Disable Auto Refresh,Inaktivera Automatisk Uppdatering,
Disable Automatic Recency Filters,Inaktivera Automatiska Senaste Filter,
Disable Change Log Notification,Inaktivera Ändring Logg Avisering,
Disable Comment Count,Inaktivera Räkning av Kommentarer,
Disable Comments,Inaktivera Kommentarer,
Disable Count,Inaktivera Räkning,
Disable Document Sharing,Inaktivera Dokument Delning,
Disable Likes,Inaktivera Gilla,
Disable SMTP server authentication,Inaktivera SMTP Server Verifiering,
Disable Sidebar Stats,Inaktivera Sidfält Statistik,
Disable Standard Email Footer,Inaktivera Standard Bolag E-post Signatur,
Disable System Update Notification,Inaktivera System Uppdatering Avisering,
Disable Username/Password Login,Inaktivera Användarnamn/Lösenord Inloggning,
Disable signups,Inaktivera Registrering,
Disabled,Inaktiverad,
Disclaimer: These indexes are suggested based on data and queries performed during this recording. These suggestions may or may not help.,Friskrivningsklausul: Dessa index föreslås baserat på data och frågor som utförts under denna inspelning. Dessa förslag kan eller kanske inte hjälper.,
Discussion Reply,Diskussion Svar,
Discussion Topic,Diskussion Ämne,
Display,Visa,
Display Depends On,Visning Beror På,
Display Depends On (JS),Visning beror på (JS),
Do Not Create New User ,Skapa inte ny Användare ,
Do not create new user if user with email does not exist in the system,Skapa inte ny Användare om Användare med E-post inte finns i system,
Doc Event,Dokument Händelse,
Doc Events,Dokument Händelser,
Doc Status,Dokument Tillstånd,
DocField,DocType Fält,
DocPerm,Dokument Behörighet,
DocShare,Dokument Delad Mapp,
DocType,DocType,
DocType Action,DocType Åtgärd,
DocType Event,DocType Händelse,
DocType Layout,DocType Layout,
DocType Layout Field,DocType Layout Fält,
DocType Link,DocType Länk,
DocType State,DocType Tillstånd,
DocType View,DocType Vy,
DocType is a Table / Form in the application.,DocType är Tabell/Formulär i app.,
DocType on which this Workflow is applicable.,DocType Arbetsflöde kan tillämpas på.,
Doctype,Doctype,
Document,Dokument,
Document Actions,Dokument Åtgärder,
Document Follow,Följ Dokument,
Document Link,Dokument Länk,
Document Linking,Dokument Länkning,
Document Links,Dokument Länkar,
Document Name,Dokumentnamn,
Document Naming Rule,Dokument Namn Regel,
Document Naming Rule Condition,Dokument Namn Regel Villkor,
Document Naming Settings,Dokument Namn Inställningar,
Document Share,Dokument Delning,
Document Share Key,Dokument Delning Nyckel,
Document Share Key Expiry (in Days),Dokument Delning Nyckel Förfaller (i Dagar),
Document Share Report,Dokument Delning Rapport,
Document States,Dokument Tillstånd,
Document Tag,Dokument Tagg,
Document Title,Dokument Titel,
Document Type,Dokumentstyp,
Document Type to Track,DocType att Spåra,
Document Types,Dokument Typer,
Document Types (Select Permissions Only),Dokument Typer (endast Val Behörigheter),
Document Types and Permissions,Dokument Typer och Behörigheter,
Documentation Link,Dokumentation Länk,
Documentation URL,Dokumentation URL,
Domain,Domän,
Domain Name,Domän Namn,
Domain Settings,Domän Inställningar,
Domains HTML,Domäner HTML,
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Koda Inte som HTML HTML taggar som 'script' eller bara tecken som 'eller', eftersom de kan användas avsiktligt på detta fält",
Don't Override Status,Åsidosätt inte Status,
Don't Send Emails,Skicka inte E-post,
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Koda inte HTML-taggar som &lt;script&gt; eller bara tecken som &lt; eller &gt;, eftersom de med avsikt kan användas i detta fält",
Donut,Ring,
Download Backups,Säkerhetskopior,
Download Template,Hämta mall,
Dropbox Access Token,Dropbox Åtkomst Token,
Dropbox Refresh Token,Dropbox Refresh Token,
Dropbox Settings,Dropbox Inställningar,
Dropdowns,Rullgardin Meny,
Due Date,Förfallodatum,
Due Date Based On,Förfallodatum baserad på,
Duration,Varaktighet,
Dynamic Filters,Dynamisk Filter,
Dynamic Filters JSON,Dynamisk Filter JSON,
Dynamic Filters Section,Dynamisk Filter Sektion,
Dynamic Link,Dynamisk Länk,
Dynamic Report Filters,Dynamisk Rapport Filter,
Dynamic Route,Dynamisk Sökväg,
Dynamic Template,Dynamisk Mall,
Edit,Redigera,
Edit Values,Redigera Värden,
Editable Grid,Redigerbar Rutnät,
Eg. smsgateway.com/api/send_sms.cgi,T.ex. smsgateway.com/api/send_sms.cgi,
Element Selector,Element Väljare,
Email,E-post,
Email Account,Email Konto,
Email Account Name,E-post Konto Namn,
Email Address,E-postadress,
Email Address whose Google Contacts are to be synced.,E-post vars Google Kontakter ska synkroniseras.,
Email Addresses,E-post Adresser,
Email Domain,E-post Domän,
Email Flag Queue,E-post Flagg Kö,
Email Footer Address,Standard Bolag E-post Signatur,
Email Group,E-postgrupp,
Email Group Member,E-post Grupp Medlemmar,
Email ID,E-post,
Email IDs,E-post ID,
Email Id,E-post-ID,
Email Inbox,E-post Inkorg,
Email Queue,E-post Kö,
Email Queue Recipient,E-post Kö Mottagare,
Email Queue records.,E-post Kö poster,
Email Reply Help,E-post Svar Hjälp,
Email Retry Limit,Antal E-post Försök,
Email Rule,E-post Regel,
Email Sent,Email Skickat,
Email Sent At,E-post skickad Kl,
Email Settings,E-postinställningar,
Email Signature,E-post Signatur,
Email Status,E-post Status,
Email Sync Option,E-post Synkronisering Alternativ,
Email Template,E-postmall,
Email Threads on Assigned Document,E-post Trådar på Tilldelad Dokument,
Email To,E-post Till,
Email Unsubscribe,E-post Avregistrering,
Emails,E-post ,
Emails will be sent with next possible workflow actions,E-post skickas med nästa möjliga arbetsflöde åtgärd,
Enable,Aktivera,
Enable Auto Reply,Aktivera Autosvar,
Enable Automatic Backup,Aktivera Automatisk Säkerhetskopiering,
Enable Automatic Linking in Documents,Aktivera Automatisk Länkning i Dokument,
Enable Comments,Aktivera Kommentarer,
Enable Email Notification,Aktivera E-post Avisering,
Enable Email Notifications,Aktivera E-post Aviseringar,
Enable Google indexing,Aktivera Google Indexering,
Enable Incoming,Aktivera Inkommande,
Enable Onboarding,Aktivera Introduktion,
Enable Outgoing,Aktivera Utgående,
Enable Password Policy,Aktivera Lösenord Princip,
Enable Prepared Report,Aktivera Färdiga Rapporter,
Enable Print Server,Aktivera Skrivar Server,
Enable Push Notification Relay,Aktivera Push-Avisering relä,
Enable Rate Limit,Aktivera Begränsning,
Enable Raw Printing,Aktivera Direkt Utskrift,
Enable Scheduled Jobs,Aktivera Schemalagda Jobb,
Enable Security,Aktivera Säkerhet,
Enable Social Login,Aktivera Social Inloggning,
Enable Social Sharing,Aktivera Social Delning,
Enable Two Factor Auth,Aktivera Två Faktor Autentisering,
Enable email notification for any comment or likes received on your Blog Post.,Aktivera E-post Avisering för alla kommentarer eller gilla från Blogg Inlägg.,
"Enable if on click
opens modal.","Aktivera vid klick
öppnar modal.",
Enable in-app website tracking,Aktivera Webbplats Spårning i App,
Enabled,Aktiverat,
Enables Calendar and Gantt views.,Aktiverar Kalender och Gantt Vyer.,
"Enabling this will register your site on a central relay server to send push notifications for all installed apps through Firebase Cloud Messaging. This server only stores user tokens and error logs, and no messages are saved.","Om aktiverad kommer detta registreras på webbplats på central reläserver för att skicka push aviseringar för alla installerade appar via Firebase Cloud Messaging. Den här servern lagrar endast användare token och felloggar, och inga aviseringar sparas.",
"Enabling this will register your site on a central relay server to send push notifications for all installed apps through Firebase Cloud Messaging. This server only stores user tokens and error logs, and no messages are saved. ","Om du aktiverar detta registreras din webbplats på en central reläserver för att skicka push-meddelanden för alla installerade appar via Firebase Cloud Messaging. Den här servern lagrar endast användartokens och felloggar, och inga meddelanden sparas.",
Enabling this will submit documents in background,Om aktiverad skickas dokument i bakgrunden,
Encrypt Backups,Kryptera Säkerhetskopior,
End Date,Slutdatum,
End Date Field,Slut Datum,
Ended At,Slutade Kl,
Endpoint URL,Slutpunkt URL,
Endpoints,endpoints,
Ends on,Slut Datum/Tid,
Energy Point,Prestation Resultat,
Energy Point Log,Prestation Resultat Logg,
Energy Point Rule,Prestation Resultat Regel,
Energy Point Settings,Prestation Resultat Inställningar,
Energy Points,Prestation Resultat,
Enqueued By,Ställd i Kö Av,
Enter Form Type,Ange Formulär Typ,
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Ange standard fält (nycklar) och värden. Om du lägger till flera värden för ett fält, kommer den första hämtas .Standard värden används också för att ange "" motsvarande "" behörighet regler. För att se lista över fält gå till "" Anpassa Formulär"" .",
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Ange statiska url parametrar här (T.ex.. Avsändare = System, användarnamn = System, lösenord = 1234 osv.)",
Enter url parameter for message,Ange url parameter för meddelande,
Enter url parameter for receiver nos,Ange url parameter för mottagare,
Error,Fel,
Error Log,Felloggen,
Error Message,Felmeddelande,
Errors,Fel ,
Event,Händelse,
Event Category,Händelse Kategori,
Event Frequency,Händelse Intervall,
Event Participants,Händelse Deltagare,
Event Reminders,Händelse Påminnelser,
Event Type,Händelse Typ,
Everyone,Alla ,
"Ex: ""colors"": [""#d1d8dd"", ""#ff5858""]","Ex: 'färger': ['# d1d8dd', '# ff5858']",
Exact Copies,Exakta kopior,
Example,Exempel,
"Example: ""/desk""","Exempel: ""/skrivbord""",
Example: #Tree/Account,Exempel: #Träd/Konto,
Example: 00001,Exempel: 00001,
Example: Setting this to 24:00 will log out a user if they are not active for 24:00 hours.,Exempel: Anges detta till 24:00 loggas användare ut om de inte är aktiva under 24:00 timmar.,
Example: {{ subject }},Exempel: {{subject}},
Excel,Excel,
Exception,Undantag,
Execute,Kör,
Executive,Verkställande,
Expert,Expert,
Expiration time,Förfallo Tid,
Expire Notification On,Förfallo Avisering Aktiverad,
Expired,Utgånget,
Expires In,Förfaller Om,
Expires On,Går ut den,
Expiry time of QR Code Image Page,Förfallo Tid för QR Kod Bild Sida,
Export,Export,
Export From,Exportera Från,
Export the data without any header notes and column descriptions,Exportera data utan några rubriker och kolumn beskrivning,
Export without main header,Exportera utan huvud rubrik,
Expose Recipients,Visa Mottagare,
Expression,Uttryck,
Expression (old style),Uttryck (gammal stil),
"Expression, Optional","Uttryck, Valfritt",
Extra Parameters,Extra Parametrar,
Facebook,Facebook,
Fail,Misslyckas,
Failed,Misslyckades,
Failed Emails,Misslyckade E-post,
Failed Job Count,Misslyckade Jobb Antal ,
Failed Jobs,Misslyckade Jobb,
Failed Logins (Last 30 days),Misslyckade Inloggningar (senaste 30 dagarna),
Failing Scheduled Jobs (last 7 days),Misslyckade Schemalagda Jobb (senaste 7 dagarna),
Failure Rate,Felprocent,
FavIcon,FavIkon,
Fax,Fax,
Featured,Utvald,
Feedback,Respons,
Feedback Request,Återkoppling Begäran,
Fetch From,Hämta Från,
Fetch on Save if Empty,Hämta vid Spara om Tom,
Field,Fält,
Field Description,Fält Beskrivning,
Field Name,Fältnamn,
Field To Check,Fält att Kontrollera,
Field Type,Fält Typ ,
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Fält som representerar Arbetsflöde Tillstånd i transaktion (om fält inte finns, ny dold  Anpassad Fält kommer att skapas)",
Field to Track,Fält att Spåra,
Fieldname,Fältnamn,
Fields,Fält,
Fields Multicheck,Fält Multicheck,
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Fält separerade med komma tecken (,) kommer att ingå i 'Sök efter' lista över dialogruta Sök",
Fieldtype,Fieldtype,
File,Fil,
File Backup,Fil Säkerhetskopiering,
File Information,Fil Information,
File Name,Fil Namn,
File Size,Filstorlek,
File Storage,Fil Lagring,
File Type,Fil Typ,
File URL,Fil URL,
Files,Filer,
Filter Data,Filtrer Data,
Filter List,Filter Lista,
Filter Meta,Filter Meta,
Filter Name,Filter Namn,
Filter Values,Filter Värden,
Filtered By,Filtrerad Efter,
Filters,Filter,
Filters Configuration,Filter Konfiguration,
Filters Display,Filter Visning,
Filters JSON,Filter JSON,
Filters Section,Filter Sektion,
